Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Olympiacos,Fortounis,Shot,0,0,89,42,-,-
Olympiacos,Fortounis,Shot,0,0,87,27,-,-
Olympiacos,Masouras,Shot,0,0,92,45,-,-
Olympiacos,Camara,Shot,0,0,80,36,-,-
Olympiacos,Masouras,Shot,0,0,91,63,-,-
Olympiacos,Carvalho,Shot,0,0,87,37,-,-
Olympiacos,Iborra,Shot,0,0,79,58,-,-
Olympiacos,Iborra,Header,0,0,94,53,-,-
Olympiacos,Biel,Shot,0,0,81,64,-,-
Genk,Kayembe,Header,0,0,88,57,-,-
Genk,El Khanouss,Shot,0,0,77,40,-,-
Genk,Arokodare,Shot,0,0,93,54,-,-
Genk,El Khanouss,Shot,0,0,87,41,-,-
Genk,Sor,Shot,0,0,92,34,-,-
Genk,Bonsu Baah,Shot,0,0,90,66,-,-
Genk,Bonsu Baah,Shot,0,0,82,68,-,-
Genk,El Khanouss,Shot,0,0,87,57,-,-
Genk,Arteaga,Shot,0,0,97,39,-,-
Genk,Mckenzie,Shot,0,0,83,44,-,-